full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM
"   40P/Vaisala 1",.6316152020645802,1.819771156172117,11.49264281940788,133.8401678570807,47.28885502172881,8.059958769551553,20141115.8423501,10.9794558818843,JFc,27930,0,1128,,,-1.091448490022975E-10,,,5.5,30.0,,,,4.2,,,,
"   41P/Tuttle-Giacobini-Kresak",.6600546005505786,1.049065775361364,9.22674653775781,141.0619210240291,62.15583633062895,5.122900528994808,20111112.1008821,5.42123868031335,JFc,4051,3,1716,,-1.544052966469551E-9,-3.802002729947434E-9,,,14.1,19.,17.2,5.,0.03,1.4,,,,
"   42P/Neujmin 3",.5841747519155726,2.027755196838527,3.984591946246174,150.279966816504,147.120393793131,7.725164839545697,20150408.2095539,10.7687477482499,JFc,15880,0,297,,1.267969358459133E-8,-1.047094835047333E-9,,77.07626509628521,14.0,10.0,,,,2.2,,,,
"   43P/Wolf-Harrington",.5949772143554771,1.356863972690114,15.97523791546521,249.8703172317626,191.5465005561985,5.343321897252499,20160819.2195662,6.13187770615823,JFc,2844,0,1433,,3.895696580085272E-9,1.753543700586394E-10,,,8.5,17.,13.8,5.,0.03,3.6,,,,
"   44P/Reinmuth 2",.4283337284041179,2.108823707710431,5.900601267837073,286.5870653548788,58.22013646712932,5.26899028094197,20080218.5990721,7.08524318460625,JFc,6563,0,1045,,1.218054767065628E-9,-3.767764108254266E-10,6.936819434989004E-10,-133.3854375596532,11.1,11.,14.4,5.,0.03,3.22,,,,
"   45P/Honda-Mrkos-Pajdusakova",.8239842313214518,.5325504825441834,4.2494729501093,89.00665702303544,326.2627059375724,5.518617393406327,20161231.2666403,5.26286234982033,JFc,123,2,1202,,,,,,14.,26.0,18.,15.0,,1.6,,,,
"   46P/Wirtanen",.659202561356482,1.052262084828943,11.75713931185802,82.16439076917047,356.3402053363259,5.123031303626559,20130709.3691697,5.42562286195012,JFc,4328,2,1523,,2.818962409695327E-9,-1.362636343747909E-9,6.64868999215002E-10,-3.733303565333467,12.9,13.,15.9,5.,0.03,1.2,,,,
"   47P/Ashbrook-Jackson",.3966969181375705,2.306229333217971,12.50810897926715,2.557272560045422,349.0409654593622,5.339113124170165,20010106.8724040,7.47409517823918,JFc,24862,0,1645,,1.307754368116899E-9,-4.089084151840673E-11,,,5.6,20.,13.1,5.,0.03,5.6,,,,
"   48P/Johnson",.4252128228718672,2.0300005787156,13.05900296291951,114.9164946148813,210.3702533539293,5.03348538441356,20180803.6034553,6.63730597007971,JFc,23859,0,1281,,6.325999247883727E-9,-1.974001960583088E-10,,,8.5,15.0,,,,5.74,,,,
"   49P/Arend-Rigaux",.6002741375112215,1.425645008009518,19.0561588304762,118.8320203776275,332.9187091007017,5.707468667113468,20111019.2912486,6.73568744437421,JFc,23210,0,2957,,2.835416534470595E-10,-5.221918309990964E-12,,,12.0,13.,15.3,5.,0.03,8.48,,0.028,,
"   50P/Arend",.5298206021893357,1.922155314757019,19.16231757493872,355.3247813871934,49.01446946341656,6.254108144285686,20071101.4647281,8.26600234828684,JFc,6415,0,1686,,2.379626304804509E-9,-1.106462708223885E-10,,,14.1,8.,,,,1.9,,,,
"   51P/Harrington",.542437041421476,1.699602249252703,5.424389279818731,83.70082476433753,269.2756022819647,5.729330610752958,20150812.6857017,7.15900818286303,JFc,5085,2,653,,3.867415007133801E-8,3.996867447334527E-9,-7.129200060302572E-9,,11.8,14.,15.1,5.,0.03,4.8,,,,
"   51P/Harrington-A",.5620663599153678,1.568096864999769,8.654956945930117,119.1877795469232,233.587839407905,5.593247783914295,20010605.6933477,6.77571408202069,JFc,7593,2,246,,2.625456552342429E-8,3.101463228773831E-9,,,10.,15.0,15.,15.0,,4.8,,,,
"   51P/Harrington-D",.5424857920569471,1.699376079948503,5.424560663918967,83.67223663815223,269.3739808328227,5.729359685826997,20150811.6908379,7.15872328531293,JFc,4971,4,182,,-8.995784304130321E-8,-1.03231522733379E-9,,,8.6,20.,14.7,5.,0.03,,,,,
"   52P/Harrington-Abell",.5403891098664094,1.773109732844502,10.23159989032961,336.8516374874541,139.5984423127618,5.942589659435476,20140307.4987339,7.5775037018532,JFc,11222,0,1307,,9.609295323785044E-10,5.576472924817417E-11,,,8.7,22.,15.5,5.,0.03,2.6,,,,
"   53P/Van Biesbroeck",.5512954597827399,2.424608638776481,6.612133607324885,148.8936037038092,134.2813445380469,8.382541374024816,20160430.5232844,12.561166683285,JFc,5815,0,2812,,-2.244236114339826E-8,-1.467105003328427E-8,,,7.5,12.0,,,,6.66,,,,
"   54P/de Vico-Swift-NEAT",0.4270474945217546114406,2.1717640349767100005351,6.0671607093682196065742,358.8600316230779,1.933331420129209,5.409192551168005,20091128.5701211,7.37987869257988,JFc,16209,1,141,,6.664761869785403E-9,6.905615013053886E-10,,,13.1,14.,17.3,5.,0.03,,,,,
"   55P/Tempel-Tuttle",0.905552720972412,0.976427915467506,162.486575379434,235.270989149082,172.5002736828059,19.70024854404794,19980228.0977341,33.2417827583798,HTC,48407,,392,,1.580981480640338E-9,9.186415654543854E-11,,,10.,25.0,16.,10.0,,3.6,,0.06,,
"   56P/Slaughter-Burnham",.5074948927869215,2.505313638223405,8.149561908421747,346.0983433790868,44.13160627649422,7.66844335041022,20160717.5038410,11.4732180766482,JFc,13020,0,1978,,-1.469069633346636E-8,2.423252665012016E-10,,,8.5,15.0,,,,3.12,,,,
"   57P/duToit-Neujmin-Delporte",.4992889286810742,1.72872449611193,2.848332280065132,188.7994329470437,115.214272881255,5.17635348252468,20150522.2626326,6.41528699620548,JFc,16549,0,719,,7.600102113351381E-9,3.307496160787671E-11,-1.209113945893137E-9,,13.9,11.,,,,,,,,
"   57P/duToit-Neujmin-Delporte-A",0.499040120360139,1.72939044107225,2.84481020036925,188.9256753142995,115.2325343233014,5.174916715482914,20020731.1512416,6.41421280698932,JFc,4946,1,533,,1.850173392646791E-8,-1.607216552946147E-10,-7.457258926508415E-10,,8.5,26.0,16.,10.0,,,,,,
"   58P/Jackson-Neujmin",0.661506727386572,1.38117347463859,13.4784074178521,160.714868044197,200.3582618971439,6.779540999683835,19951006.6141767,8.24243409745619,JFc,9272,0,321,,3.517832735318963E-9,-1.582915968739836E-10,,,11.5,25.0,,,,,,,,
